"";"idamostra";"idade1";"hdom1";"licl4";"lscl4";"lscl3";"lscl2";"lscl1";"is";"nmudou";"nis"
"542";136;64,19;27,0409081506478;19,9314498925626;22,4874014158441;25,0964010007085;27,7548260448213;30,45957283791;2;1;2
"543";136;73,23;29,8663746387949;22,5567409703833;24,8326655305661;27,1021284052356;29,3657042308009;31,6238748391734;1;1;1
"544";137;27,73;11,7993072357131;6,57404852433105;9,24125551014957;12,5974854513329;16,7379334189142;21,7614485153708;3;1;3
"545";137;41;17,0323895341828;11,7337259496105;14,7046259983409;18,0562529631616;21,7982544411576;25,9396930182688;3;1;3
"546";137;51,54;22,6435272078272;15,6883066830389;18,5603844668714;21,6276794117932;24,8849086381506;28,3273535696493;2;1;2
"547";137;64,19;24,8024223765875;19,9314498925626;22,4874014158441;25,0964010007085;27,7548260448213;30,45957283791;3;1;3
"548";137;73,23;27,0110616736603;22,5567409703833;24,8326655305661;27,1021284052356;29,3657042308009;31,6238748391734;3;1;3
"549";138;41;17,828295587182;11,7337259496105;14,7046259983409;18,0562529631616;21,7982544411576;25,9396930182688;3;1;3
"550";138;51,54;22,9817872803519;15,6883066830389;18,5603844668714;21,6276794117932;24,8849086381506;28,3273535696493;2;1;2
"551";138;64,19;25,8172025941615;19,9314498925626;22,4874014158441;25,0964010007085;27,7548260448213;30,45957283791;2;1;2
"552";138;73,23;28,8018502929085;22,5567409703833;24,8326655305661;27,1021284052356;29,3657042308009;31,6238748391734;2;1;2
"553";139;28,78;15,7987351520341;6,97367304613956;9,68899646181369;13,0680047794361;17,1944140919055;22,1542727033534;2;0;2
"554";139;42,05;21,887416457478;12,1397052304086;15,1111532839525;18,4419541283308;22,1389586612548;26,2085645123848;2;0;2
"555";139;52,6;24,5735993863503;16,0675124887707;18,9192184493065;21,9510523010507;25,1573844945779;28,5332076387643;2;0;2
"556";139;65,24;27,6577353417221;20,2542558368349;22,7789347080185;25,3482006058342;27,9588880964681;30,6082927286173;2;0;2
"557";139;74,28;29,299291576033;22,8391402404081;25,0816163152913;27,3124726809732;29,5327665050603;31,7433823017521;2;0;2
"558";140;25,76;14,0278441841109;5,83532883356185;8,3989746876436;11,6981175941768;15,8525126348433;20,9890956201116;2;1;2
"559";140;39,03;22,9021966750519;10,9675428520486;13,9296867206423;17,3142767895918;21,1373277610989;25,4140603438456;1;1;1
