"idarvore";"dap";"ht";"hi";"dicc";"vcc"
38813;12,6;22,8;4;10,8;0,0508630133801495
38813;12,6;22,8;6;9,9;0,0677215849574757
38813;12,6;22,8;8;9;0,0817809974804534
38813;12,6;22,8;10;8,3;0,0935533305516178
38813;12,6;22,8;12;7,2;0,103035442578315
38813;12,6;22,8;14;5,8;0,109749026079037
38813;12,6;22,8;16;5,1;0,114433926123702
38813;12,6;22,8;18;3,9;0,117671337353227
38813;12,6;22,8;19,8;3;0,119382641411453
38813;12,6;22,8;22,8;0;0,120089499758511
38815;20,2;29,5;0,1;21,8;0,00373252623173003
38815;20,2;29,5;0,7;21,3;0,0256199237094738
38815;20,2;29,5;1,3;20,2;0,0459239584898083
38815;20,2;29,5;2;19,3;0,0673798974864896
38815;20,2;29,5;4;17,4;0,120413908469902
38815;20,2;29,5;6;16,6;0,165835055055504
38815;20,2;29,5;8;15,7;0,206836766175667
38815;20,2;29,5;10;15,2;0,244341884672386
38815;20,2;29,5;12;14;0,27788152784211
38815;20,2;29,5;14;12,2;0,304965198108708
38815;20,2;29,5;16;11,4;0,326862098904229
38815;20,2;29,5;18;10,5;0,345728148187199
38815;20,2;29,5;20;9;0,360748888062175
38815;20,2;29,5;22;8;0,372137161431438
38815;20,2;29,5;24;6,3;0,380280954987706
38815;20,2;29,5;26;4,4;0,384918731142568
38815;20,2;29,5;27,3571428571429;3;0,386430173808158
38815;20,2;29,5;29,5;0;0,386935072627485
38816;20,4;28,6;0,1;23,5;0,00433736135736241
38816;20,4;28,6;0,7;21,2;0,0279391259461701
38816;20,4;28,6;1,3;20,4;0,048334345453275
38816;20,4;28,6;2;19;0,0696976467365837
38816;20,4;28,6;4;17,2;0,121285739701182
38816;20,4;28,6;6;16,4;0,16564502796987
38816;20,4;28,6;8;15,7;0,206128376302191
38816;20,4;28,6;10;14,7;0,24245932454463
38816;20,4;28,6;12;13,5;0,273744874985404
38816;20,4;28,6;14;12,9;0,30112856735042
38816;20,4;28,6;16;11,2;0,324050412749174
38816;20,4;28,6;18;10,1;0,341914293975649
38816;20,4;28,6;20;9;0,356287865763986
38816;20,4;28,6;22;7,2;0,366721094966557
38816;20,4;28,6;24;5,6;0,373255607686024
38816;20,4;28,6;26;3,2;0,376522864045758
38816;20,4;28,6;26,1625;3;0,376645641413651
38816;20,4;28,6;28,6;0;0,377219963820635
39263;14,5;25,2;0,1;18,5;0,00268802521422777
39263;14,5;25,2;0,7;16,2;0,0169356976769719
39263;14,5;25,2;1,3;14,5;0,0280731934126621
39263;14,5;25,2;2;14;0,0392405735484695
39263;14,5;25,2;4;13;0,0679076065124764
39263;14,5;25,2;6;12,1;0,0926798499841953
