"arvore";"cap";"ht";"hi";"dicc";"espcasca"
1105;46,59;21,2;10,9;9,29;0,306
1175;61,01;27,2;10,9;14,32;0,36
1175;61,01;27,2;12,1;14,07;0,388
1105;46,59;21,2;12,1;8,75;0,269
1105;46,59;21,2;13,3;8,4;0,288
1175;61,01;27,2;13,3;12,73;0,366
1105;46,59;21,2;14,5;7,51;0,266
1175;61,01;27,2;14,5;11,75;0,342
1105;46,59;21,2;15,7;6,75;0,285
1175;61,01;27,2;15,7;11,14;0,345
1175;61,01;27,2;16,9;10,19;0,277
1105;46,59;21,2;16,9;5,98;0,25
1105;46,59;21,2;18,1;4,71;0,232
1175;61,01;27,2;18,1;9,84;0,346
1175;61,01;27,2;19,3;8,98;0,3
1105;46,59;21,2;19,3;3,44;0,211
1105;46,59;21,2;20,5;1,27;0,119
1175;61,01;27,2;20,5;8,15;0,309
1175;61,01;27,2;21,7;7,51;0,303
1175;61,01;27,2;22,9;7,23;0,274
1175;61,01;27,2;24,1;4,62;0,205
1175;61,01;27,2;25,3;3,34;0,145
1175;61,01;27,2;26,5;1,05;0,091
1176;47;25,35;0,1;17,41;0,791
1106;43,01;21,2;0,1;16,77;1,175
1176;47;25,35;0,7;15,66;0,515
1106;43,01;21,2;0,7;14,13;1,125
1106;43,01;21,2;1,3;13,69;0,762
1176;47;25,35;1,3;14,96;0,526
1106;43,01;21,2;2,5;13,05;0,561
1176;47;25,35;2,5;14,55;0,496
1176;47;25,35;3,7;13,69;0,294
1106;43,01;21,2;3,7;12,16;0,458
1176;47;25,35;4,9;13,37;0,248
1106;43,01;21,2;4,9;11,46;0,415
1106;43,01;21,2;6,1;11,08;0,346
1176;47;25,35;6,1;12,89;0,276
1176;47;25,35;7,3;12,83;0,256
1106;43,01;21,2;7,3;10,82;0,365
1106;43,01;21,2;8,5;10,09;0,351
1176;47;25,35;8,5;12,1;0,255
1106;43,01;21,2;9,7;9,71;0,39
1176;47;25,35;9,7;11,43;0,256
1106;43,01;21,2;10,9;9,07;0,295
1176;47;25,35;10,9;10,92;0,243
1176;47;25,35;12,1;10,38;0,23
1106;43,01;21,2;12,1;8,18;0,275
1176;47;25,35;13,3;9,87;0,237
1106;43,01;21,2;13,3;7,8;0,345
1176;47;25,35;14,5;9,29;0,232
1106;43,01;21,2;14,5;6,97;0,267
